gender,age_group,race,hispanic,inputstate,education,presvote20post
Female,18-34,White,Yes,Indiana,Bachelor's degree,Joe Biden
Male,35-54,Hispanic,Yes,Ohio,Some college or associate's degree,Joe Biden
Female,18-34,White,No,Michigan,Bachelor's degree,Joe Biden
Female,65+,White,No,Wisconsin,High school graduate (includes equivalency),Donald Trump
Male,35-54,White,No,Alaska,Bachelor's degree,Donald Trump
Female,35-54,White,No,Michigan,Some college or associate's degree,Joe Biden
Female,35-54,White,No,Michigan,Some college or associate's degree,Joe Biden
Male,18-34,White,No,California,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,Arizona,High school graduate (includes equivalency),Donald Trump
Female,35-54,White,No,Michigan,Bachelor's degree,Joe Biden
Female,65+,White,No,Minnesota,Bachelor's degree,Joe Biden
Male,35-54,White,No,Colorado,Some college or associate's degree,Donald Trump
Male,65+,White,No,Arizona,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Minnesota,Bachelor's degree,Donald Trump
Female,65+,White,No,Wisconsin,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Florida,Some college or associate's degree,Donald Trump
Male,35-54,Black,No,South Carolina,High school graduate (includes equivalency),Joe Biden
Female,18-34,Black,No,Georgia,No high school diploma,Donald Trump
Female,35-54,White,No,New Jersey,Graduate or professional degree,Joe Biden
Male,35-54,White,Yes,New York,High school graduate (includes equivalency),Donald Trump
Female,18-34,White,No,Alabama,Bachelor's degree,Donald Trump
Male,35-54,White,No,Maine,High school graduate (includes equivalency),Donald Trump
Female,18-34,Hispanic,Yes,New York,Bachelor's degree,Joe Biden
Female,18-34,Black,No,Texas,Graduate or professional degree,Joe Biden
Male,35-54,White,No,California,Bachelor's degree,Joe Biden
Male,18-34,White,No,Texas,Bachelor's degree,Joe Biden
Female,35-54,White,No,Texas,Bachelor's degree,Joe Biden
Female,35-54,White,No,North Carolina,Graduate or professional degree,Joe Biden
Female,35-54,White,No,New Jersey,Bachelor's degree,Joe Biden
Female,18-34,White,No,Arkansas,Bachelor's degree,Joe Biden
Male,35-54,White,No,Pennsylvania,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,New York,High school graduate (includes equivalency),Joe Biden
Male,18-34,White,No,Kentucky,Bachelor's degree,Donald Trump
Male,65+,White,No,Kentucky,High school graduate (includes equivalency),Joe Biden
Female,18-34,White,No,California,Graduate or professional degree,Joe Biden
Female,35-54,Black,No,New York,No high school diploma,Joe Biden
Female,18-34,Two or more races,No,Utah,Some college or associate's degree,Donald Trump
Female,65+,Black,No,Florida,High school graduate (includes equivalency),Joe Biden
Female,18-34,Black,No,Nebraska,Some college or associate's degree,Donald Trump
Female,65+,Hispanic,Yes,Texas,High school graduate (includes equivalency),Joe Biden
Female,65+,Black,No,Missouri,High school graduate (includes equivalency),Joe Biden
Female,65+,Hispanic,Yes,Florida,High school graduate (includes equivalency),Donald Trump
Female,18-34,White,No,Utah,Some college or associate's degree,Joe Biden
Male,18-34,Hispanic,Yes,California,Some college or associate's degree,Joe Biden
Female,35-54,White,No,Washington,High school graduate (includes equivalency),Joe Biden
Male,65+,White,Yes,California,High school graduate (includes equivalency),Donald Trump
Male,18-34,White,No,Texas,Some college or associate's degree,Joe Biden
Female,18-34,White,No,Connecticut,Some college or associate's degree,Joe Biden
Female,65+,White,No,Ohio,High school graduate (includes equivalency),Joe Biden
Female,65+,White,No,Tennessee,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,Indiana,Some college or associate's degree,Joe Biden
Male,65+,White,No,Florida,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Maine,High school graduate (includes equivalency),Donald Trump
Male,65+,White,No,New Mexico,Some college or associate's degree,Donald Trump
Male,65+,White,No,Indiana,High school graduate (includes equivalency),Donald Trump
Male,65+,White,No,Ohio,Some college or associate's degree,Donald Trump
Female,65+,White,No,Tennessee,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Georgia,High school graduate (includes equivalency),Donald Trump
Male,65+,White,No,Arizona,Some college or associate's degree,Joe Biden
Male,65+,White,No,Idaho,High school graduate (includes equivalency),Donald Trump
Male,65+,White,No,Nevada,Some college or associate's degree,Joe Biden
Male,65+,White,No,Kentucky,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,California,High school graduate (includes equivalency),Donald Trump
Male,65+,White,No,Montana,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,Arizona,Some college or associate's degree,Donald Trump
Male,65+,White,No,Pennsylvania,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,Utah,Some college or associate's degree,Donald Trump
Female,35-54,White,No,Georgia,High school graduate (includes equivalency),Donald Trump
Male,65+,White,No,Washington,Some college or associate's degree,Donald Trump
Female,65+,White,No,Indiana,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,California,Some college or associate's degree,Donald Trump
Male,65+,White,No,Missouri,Some college or associate's degree,Donald Trump
Male,65+,White,No,Maryland,Some college or associate's degree,Joe Biden
Female,65+,Black,No,Virginia,High school graduate (includes equivalency),Joe Biden
Female,35-54,Black,No,Virginia,Bachelor's degree,Donald Trump
Female,18-34,Two or more races,No,South Carolina,Graduate or professional degree,Joe Biden
Male,65+,White,No,Texas,Some college or associate's degree,Donald Trump
Female,35-54,Black,No,Wisconsin,Some college or associate's degree,Joe Biden
Female,35-54,Two or more races,No,Ohio,Some college or associate's degree,Joe Biden
Female,35-54,Black,No,Alabama,Some college or associate's degree,Joe Biden
Female,18-34,Asian,Yes,California,Graduate or professional degree,Joe Biden
Female,35-54,Hispanic,Yes,California,Graduate or professional degree,Donald Trump
Male,35-54,Hispanic,Yes,Texas,High school graduate (includes equivalency),Donald Trump
Female,18-34,White,No,Missouri,Some college or associate's degree,Joe Biden
Female,18-34,White,No,New York,Some college or associate's degree,Joe Biden
Male,18-34,Hispanic,Yes,New Jersey,High school graduate (includes equivalency),Donald Trump
Male,18-34,White,No,Texas,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,Ohio,Graduate or professional degree,Joe Biden
Female,35-54,White,No,Indiana,Some college or associate's degree,Joe Biden
Male,35-54,Black,No,Georgia,High school graduate (includes equivalency),Joe Biden
Female,18-34,Hispanic,Yes,Virginia,Bachelor's degree,Joe Biden
Male,35-54,White,No,New York,Graduate or professional degree,Joe Biden
Female,35-54,White,No,Florida,Some college or associate's degree,Donald Trump
Male,18-34,White,No,California,Bachelor's degree,Joe Biden
Male,35-54,Black,No,Louisiana,Some college or associate's degree,Joe Biden
Female,35-54,White,No,California,Bachelor's degree,Joe Biden
Male,35-54,White,No,Ohio,Some college or associate's degree,Joe Biden
Female,18-34,White,No,South Carolina,High school graduate (includes equivalency),Donald Trump
Male,18-34,White,No,New York,Some college or associate's degree,Joe Biden
Male,35-54,White,No,Maryland,Bachelor's degree,Donald Trump
Female,18-34,Black,No,California,Graduate or professional degree,Donald Trump
Female,35-54,Hispanic,Yes,North Carolina,Bachelor's degree,Joe Biden
Female,18-34,White,No,Illinois,Bachelor's degree,Donald Trump
Male,35-54,White,No,New York,Bachelor's degree,Donald Trump
Female,35-54,White,No,New York,Bachelor's degree,Joe Biden
Male,18-34,White,Yes,New York,Some college or associate's degree,Joe Biden
Female,35-54,White,No,New York,Bachelor's degree,Joe Biden
Male,18-34,White,No,Massachusetts,High school graduate (includes equivalency),Donald Trump
Male,35-54,White,No,Ohio,Bachelor's degree,Joe Biden
Female,35-54,White,No,Massachusetts,Bachelor's degree,Joe Biden
Male,18-34,White,No,Pennsylvania,Some college or associate's degree,Joe Biden
Female,65+,Black,No,District of Columbia,Some college or associate's degree,Joe Biden
Female,18-34,Black,No,Texas,Graduate or professional degree,Joe Biden
Female,65+,Black,No,Arizona,Graduate or professional degree,Joe Biden
Female,65+,Black,No,Mississippi,Some college or associate's degree,Joe Biden
Female,65+,Black,No,South Carolina,Some college or associate's degree,Joe Biden
Female,65+,Black,No,Ohio,Bachelor's degree,Joe Biden
Male,18-34,Asian,No,New Jersey,Some college or associate's degree,Joe Biden
Male,35-54,White,No,California,High school graduate (includes equivalency),Joe Biden
Male,35-54,Hispanic,Yes,New York,High school graduate (includes equivalency),Joe Biden
Male,18-34,Other,No,Arizona,Some college or associate's degree,Donald Trump
Male,35-54,White,No,Michigan,Some college or associate's degree,Joe Biden
Female,35-54,White,No,Minnesota,Graduate or professional degree,Joe Biden
Female,65+,White,No,Michigan,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,Washington,Graduate or professional degree,Joe Biden
Female,65+,White,No,Texas,Bachelor's degree,Joe Biden
Female,65+,Hispanic,Yes,Texas,No high school diploma,Donald Trump
Male,18-34,White,No,Virginia,High school graduate (includes equivalency),Joe Biden
Female,65+,White,No,Florida,Bachelor's degree,Joe Biden
Male,65+,White,No,Missouri,Bachelor's degree,Donald Trump
Female,65+,White,No,North Carolina,Bachelor's degree,Joe Biden
Male,65+,White,No,Oregon,Bachelor's degree,Joe Biden
Male,35-54,White,No,Texas,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,New Mexico,Graduate or professional degree,Joe Biden
Male,65+,White,No,California,Graduate or professional degree,Joe Biden
Male,65+,White,No,North Carolina,Graduate or professional degree,Donald Trump
Male,65+,White,No,Oregon,Bachelor's degree,Joe Biden
Male,65+,White,No,Florida,Graduate or professional degree,Joe Biden
Female,65+,White,No,Tennessee,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,Minnesota,Bachelor's degree,Donald Trump
Male,65+,White,No,California,Graduate or professional degree,Joe Biden
Male,35-54,White,No,Kentucky,No high school diploma,Joe Biden
Male,65+,White,No,Colorado,Graduate or professional degree,Donald Trump
Male,65+,White,No,Tennessee,Graduate or professional degree,Joe Biden
Male,65+,White,No,Colorado,Graduate or professional degree,Joe Biden
Female,65+,White,No,North Carolina,Bachelor's degree,Joe Biden
Male,65+,White,No,Washington,Bachelor's degree,Donald Trump
Male,65+,White,No,South Carolina,Bachelor's degree,Donald Trump
Female,65+,White,No,California,Bachelor's degree,Joe Biden
Female,65+,White,No,Florida,High school graduate (includes equivalency),Donald Trump
Male,65+,White,No,Texas,Bachelor's degree,Donald Trump
Male,65+,White,No,Maryland,Graduate or professional degree,Joe Biden
Female,65+,White,Yes,California,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,Virginia,High school graduate (includes equivalency),Joe Biden
Female,65+,White,No,Missouri,High school graduate (includes equivalency),Joe Biden
Male,35-54,White,No,Oklahoma,High school graduate (includes equivalency),Donald Trump
Male,65+,White,No,Minnesota,Bachelor's degree,Donald Trump
Male,65+,White,No,Texas,Graduate or professional degree,Joe Biden
Female,35-54,Black,No,Pennsylvania,Some college or associate's degree,Joe Biden
