gender,age_group,race,hispanic,inputstate,education,presvote20post
Female,35-54,White,No,Florida,Some college or associate's degree,Joe Biden
Male,35-54,White,No,Utah,Graduate or professional degree,Joe Biden
Female,35-54,White,No,Indiana,High school graduate (includes equivalency),Donald Trump
Male,35-54,White,No,California,High school graduate (includes equivalency),Joe Biden
Female,35-54,White,No,New York,Graduate or professional degree,Joe Biden
Female,35-54,White,No,Pennsylvania,Some college or associate's degree,Donald Trump
Male,35-54,White,No,Connecticut,Graduate or professional degree,Joe Biden
Female,35-54,White,No,New Jersey,Graduate or professional degree,Donald Trump
Female,65+,Hispanic,Yes,Texas,High school graduate (includes equivalency),Donald Trump
Male,18-34,Hispanic,Yes,Florida,High school graduate (includes equivalency),Donald Trump
Male,35-54,Black,No,Virginia,High school graduate (includes equivalency),Joe Biden
Male,18-34,Black,No,Alaska,High school graduate (includes equivalency),Donald Trump
Male,18-34,Asian,No,Colorado,Bachelor's degree,Joe Biden
Male,18-34,Hispanic,Yes,Oregon,High school graduate (includes equivalency),Joe Biden
Male,35-54,Two or more races,Yes,New York,Bachelor's degree,Joe Biden
Male,35-54,Hispanic,Yes,Wisconsin,High school graduate (includes equivalency),Joe Biden
Male,65+,Black,No,Alabama,High school graduate (includes equivalency),Joe Biden
Male,65+,Hispanic,Yes,Texas,High school graduate (includes equivalency),Donald Trump
Male,35-54,Black,No,Alabama,High school graduate (includes equivalency),Joe Biden
Male,65+,Hispanic,Yes,Georgia,Bachelor's degree,Donald Trump
Male,65+,Black,No,California,High school graduate (includes equivalency),Joe Biden
Male,65+,Black,No,Louisiana,High school graduate (includes equivalency),Joe Biden
Male,18-34,White,No,Ohio,Bachelor's degree,Joe Biden
Male,18-34,White,No,New York,High school graduate (includes equivalency),Joe Biden
Female,35-54,White,No,Florida,Bachelor's degree,Joe Biden
Female,35-54,White,No,Colorado,Bachelor's degree,Joe Biden
Female,18-34,White,No,Delaware,Bachelor's degree,Joe Biden
Female,35-54,White,No,Ohio,Bachelor's degree,Joe Biden
Female,35-54,White,No,California,Bachelor's degree,Joe Biden
Female,18-34,White,No,Massachusetts,Bachelor's degree,Joe Biden
Female,35-54,White,No,Washington,Bachelor's degree,Joe Biden
Female,35-54,White,No,California,Bachelor's degree,Donald Trump
Male,18-34,White,No,New York,Bachelor's degree,Donald Trump
Female,35-54,Hispanic,Yes,Massachusetts,High school graduate (includes equivalency),Joe Biden
Male,18-34,Hispanic,Yes,California,Some college or associate's degree,Donald Trump
Female,65+,White,No,Nevada,Bachelor's degree,Joe Biden
Male,35-54,White,No,Florida,Bachelor's degree,Donald Trump
Female,35-54,White,No,West Virginia,Some college or associate's degree,Donald Trump
Male,65+,White,No,Arizona,Some college or associate's degree,Donald Trump
Female,65+,White,No,Texas,Bachelor's degree,Joe Biden
Female,65+,White,No,Tennessee,Bachelor's degree,Donald Trump
Male,65+,White,No,Indiana,Some college or associate's degree,Joe Biden
Female,65+,White,No,Ohio,Bachelor's degree,Joe Biden
Female,35-54,White,No,Oregon,Some college or associate's degree,Joe Biden
Female,65+,White,No,Arizona,Bachelor's degree,Donald Trump
Male,65+,White,No,Illinois,Some college or associate's degree,Donald Trump
Male,18-34,White,No,Wisconsin,High school graduate (includes equivalency),Donald Trump
Male,18-34,Hispanic,Yes,Arizona,High school graduate (includes equivalency),Joe Biden
Male,18-34,Black,No,California,High school graduate (includes equivalency),Donald Trump
Female,18-34,Black,No,California,Bachelor's degree,Joe Biden
Female,18-34,Hispanic,Yes,Illinois,High school graduate (includes equivalency),Joe Biden
Female,35-54,Black,No,North Dakota,Bachelor's degree,Joe Biden
Male,18-34,Black,No,Texas,Graduate or professional degree,Joe Biden
Female,35-54,Black,No,New Jersey,High school graduate (includes equivalency),Donald Trump
Male,35-54,White,No,California,Graduate or professional degree,Donald Trump
Male,35-54,White,No,Illinois,Graduate or professional degree,Joe Biden
Female,35-54,White,No,Maryland,Graduate or professional degree,Joe Biden
Female,35-54,White,No,New York,Graduate or professional degree,Joe Biden
Male,18-34,White,No,New York,Graduate or professional degree,Donald Trump
Male,18-34,White,No,West Virginia,Graduate or professional degree,Donald Trump
Male,18-34,White,No,Florida,Graduate or professional degree,Donald Trump
Female,35-54,White,Yes,Florida,High school graduate (includes equivalency),Donald Trump
Female,35-54,Asian,No,Virginia,Graduate or professional degree,Joe Biden
Female,18-34,Hispanic,Yes,New York,Bachelor's degree,Joe Biden
Female,18-34,White,No,Florida,Bachelor's degree,Joe Biden
Male,18-34,White,No,Texas,High school graduate (includes equivalency),Donald Trump
Male,65+,White,No,Georgia,Bachelor's degree,Donald Trump
Female,18-34,White,No,California,Bachelor's degree,Joe Biden
Female,65+,White,No,Texas,Bachelor's degree,Donald Trump
Female,35-54,White,No,Massachusetts,Bachelor's degree,Joe Biden
Male,35-54,White,No,Pennsylvania,Bachelor's degree,Joe Biden
Female,65+,White,No,Montana,High school graduate (includes equivalency),Donald Trump
Female,35-54,White,No,Pennsylvania,Bachelor's degree,Donald Trump
Male,65+,White,No,Nevada,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,California,Bachelor's degree,Joe Biden
Male,65+,White,No,Georgia,Bachelor's degree,Joe Biden
Male,65+,White,No,Kentucky,Bachelor's degree,Donald Trump
Male,65+,Other,No,Florida,Some college or associate's degree,Donald Trump
Female,65+,White,No,New Mexico,High school graduate (includes equivalency),Donald Trump
Male,35-54,Black,No,Florida,Bachelor's degree,Joe Biden
Male,18-34,White,No,California,High school graduate (includes equivalency),Joe Biden
Female,35-54,Other,No,North Carolina,Some college or associate's degree,Donald Trump
Female,65+,Two or more races,No,Oregon,Graduate or professional degree,Joe Biden
Female,65+,Middle Eastern,No,Massachusetts,Bachelor's degree,Joe Biden
Male,35-54,Hispanic,Yes,Texas,Bachelor's degree,Joe Biden
Female,35-54,Hispanic,Yes,South Carolina,Graduate or professional degree,Donald Trump
Female,65+,Hispanic,Yes,California,High school graduate (includes equivalency),Donald Trump
Male,18-34,Other,No,Texas,Some college or associate's degree,Donald Trump
Female,18-34,Hispanic,Yes,Texas,Some college or associate's degree,Joe Biden
Female,35-54,Hispanic,Yes,Texas,Some college or associate's degree,Donald Trump
Female,35-54,Hispanic,Yes,Texas,High school graduate (includes equivalency),Joe Biden
Male,35-54,White,No,Kansas,High school graduate (includes equivalency),Donald Trump
Female,35-54,White,No,Michigan,No high school diploma,Joe Biden
Female,35-54,Hispanic,Yes,Pennsylvania,High school graduate (includes equivalency),Donald Trump
Female,18-34,White,No,Michigan,High school graduate (includes equivalency),Donald Trump
Female,35-54,White,No,Oklahoma,High school graduate (includes equivalency),Joe Biden
Male,18-34,White,No,Texas,High school graduate (includes equivalency),Joe Biden
Male,35-54,Hispanic,Yes,Florida,High school graduate (includes equivalency),Donald Trump
Male,18-34,White,No,Georgia,High school graduate (includes equivalency),Joe Biden
Female,35-54,White,No,California,High school graduate (includes equivalency),Joe Biden
Male,35-54,White,No,Illinois,High school graduate (includes equivalency),Donald Trump
Female,35-54,White,No,Wisconsin,High school graduate (includes equivalency),Joe Biden
Female,35-54,White,No,South Carolina,High school graduate (includes equivalency),Joe Biden
Female,35-54,White,No,Arizona,High school graduate (includes equivalency),Joe Biden
Male,35-54,White,No,New York,High school graduate (includes equivalency),Joe Biden
Female,35-54,White,No,Oregon,High school graduate (includes equivalency),Joe Biden
Female,35-54,Hispanic,Yes,California,High school graduate (includes equivalency),Donald Trump
Male,18-34,Black,No,Georgia,High school graduate (includes equivalency),Joe Biden
Female,35-54,White,No,Missouri,Bachelor's degree,Donald Trump
Male,35-54,White,No,Ohio,High school graduate (includes equivalency),Joe Biden
Male,35-54,White,No,Missouri,Some college or associate's degree,Donald Trump
Male,35-54,Black,No,Ohio,Some college or associate's degree,Joe Biden
Male,18-34,White,No,Alabama,Some college or associate's degree,Joe Biden
Male,35-54,Hispanic,Yes,Pennsylvania,Some college or associate's degree,Joe Biden
Male,18-34,White,No,Texas,Some college or associate's degree,Joe Biden
Male,18-34,Hispanic,Yes,Texas,Some college or associate's degree,Joe Biden
Female,65+,White,No,Tennessee,High school graduate (includes equivalency),Donald Trump
Female,35-54,White,No,New Hampshire,Bachelor's degree,Joe Biden
Female,18-34,Black,No,California,Some college or associate's degree,Joe Biden
Male,18-34,White,No,New York,Graduate or professional degree,Donald Trump
Male,35-54,White,No,New Jersey,Some college or associate's degree,Joe Biden
Female,18-34,White,No,Kentucky,Graduate or professional degree,Joe Biden
Male,18-34,White,No,Oregon,Graduate or professional degree,Joe Biden
Male,35-54,White,No,Montana,Bachelor's degree,Joe Biden
Female,18-34,White,No,Indiana,Graduate or professional degree,Donald Trump
Male,18-34,White,No,Missouri,Bachelor's degree,Joe Biden
Male,35-54,White,No,California,Bachelor's degree,Donald Trump
Female,35-54,White,No,South Carolina,Bachelor's degree,Donald Trump
Female,35-54,Black,No,Indiana,Some college or associate's degree,Joe Biden
Male,18-34,White,No,California,Graduate or professional degree,Joe Biden
Female,65+,White,No,Illinois,Graduate or professional degree,Joe Biden
Male,65+,White,No,North Carolina,High school graduate (includes equivalency),Donald Trump
Male,35-54,White,No,New Hampshire,Bachelor's degree,Joe Biden
Male,65+,Two or more races,No,New York,High school graduate (includes equivalency),Joe Biden
Female,65+,Black,No,Alabama,Graduate or professional degree,Joe Biden
Male,35-54,White,No,Washington,Bachelor's degree,Joe Biden
Male,65+,Native American,No,Oregon,Graduate or professional degree,Donald Trump
Female,18-34,Black,No,Illinois,Some college or associate's degree,Donald Trump
Male,65+,White,No,Tennessee,High school graduate (includes equivalency),Donald Trump
Female,35-54,Black,No,Kentucky,Some college or associate's degree,Donald Trump
Male,35-54,White,No,Virginia,Bachelor's degree,Donald Trump
Male,65+,White,No,Pennsylvania,High school graduate (includes equivalency),Donald Trump
Male,35-54,White,No,Texas,Bachelor's degree,Joe Biden
Female,35-54,Black,No,Mississippi,Some college or associate's degree,Joe Biden
Female,35-54,White,No,Oregon,Bachelor's degree,Joe Biden
Female,65+,White,No,Texas,Graduate or professional degree,Donald Trump
Female,18-34,White,No,New York,Graduate or professional degree,Joe Biden
Female,35-54,White,No,Florida,Graduate or professional degree,Joe Biden
Male,65+,White,No,Pennsylvania,Some college or associate's degree,Joe Biden
Female,35-54,White,No,California,Graduate or professional degree,Donald Trump
Female,35-54,White,No,Ohio,Graduate or professional degree,Joe Biden
Male,35-54,White,No,Florida,Some college or associate's degree,Joe Biden
Female,65+,White,No,Florida,Graduate or professional degree,Joe Biden
Female,35-54,Black,No,Arkansas,Some college or associate's degree,Joe Biden
Male,65+,White,No,Nevada,Bachelor's degree,Donald Trump
Female,65+,White,No,Arizona,Graduate or professional degree,Joe Biden
Female,18-34,White,No,Georgia,Some college or associate's degree,Joe Biden
Female,35-54,Two or more races,Yes,Washington,Bachelor's degree,Donald Trump
Male,18-34,Hispanic,Yes,Texas,Some college or associate's degree,Joe Biden
Female,35-54,Black,No,South Carolina,Some college or associate's degree,Joe Biden
Male,35-54,White,No,Minnesota,Some college or associate's degree,Donald Trump
Male,18-34,White,No,Georgia,Some college or associate's degree,Donald Trump
Male,65+,White,No,Oregon,High school graduate (includes equivalency),Donald Trump
Male,35-54,White,No,Illinois,Bachelor's degree,Donald Trump
Male,65+,White,No,Pennsylvania,Bachelor's degree,Joe Biden
Female,65+,Black,No,Georgia,High school graduate (includes equivalency),Joe Biden
Male,35-54,White,No,California,Bachelor's degree,Joe Biden
Female,65+,White,No,Pennsylvania,Graduate or professional degree,Joe Biden
Male,35-54,White,No,Virginia,Bachelor's degree,Joe Biden
Female,18-34,Black,No,Florida,High school graduate (includes equivalency),Donald Trump
Female,65+,White,No,New York,Graduate or professional degree,Joe Biden
Female,65+,Black,No,Mississippi,High school graduate (includes equivalency),Joe Biden
Male,65+,White,No,Michigan,High school graduate (includes equivalency),Donald Trump
